status;date;order number;product name;size/volume;price;price per 1;shop;discount
;22.08.2025;1;Denner Kaisergem체se;0,750;3.45;4.60;denner;
;22.08.2025;2;Denner Norweg Portionen;0,250;5.90;23.60;denner;
;22.08.2025;3;D-Vollmilch Past;1,000;1.40;1.40;denner;
;22.08.2025;4;Denner Gouda in Scheibe;0,250;2.30;9.20;denner;
!;22.08.2025;5;D-Joghurt Vanilie;0,290;NaN;NaN;denner;
;16.08.2025;1;Denner Orangensaft;1,500;1.95;1.30;denner;
!;16.08.2025;2;Denner Kaisergem체se;0,750;NaN;NaN;denner;
!;16.08.2025;3;D-Vollmilch Past;1,000;NaN;NaN;denner;
;16.08.2025;4;D-M체esli Traube-Nuss;1,000;2.55;2.55;denner;
;16.08.2025;5;D-Tomme suisse Rund;0,100;1.95;19.50;denner;
;16.08.2025;6;Butte mit IPS Weizenmehl;0,053;0.40;7.55;denner;50%
;16.08.2025;7;Croissant;0,070;0.40;5.71;denner;53%
!;16.08.2025;8;D-Joghurt Vanilie;0,200;NaN;NaN;denner;
!;16.08.2025;9;D-Joghurt Heidelbeer;0,200;NaN;NaN;denner;
;16.08.2025;10;Denner Gouda in Scheibe;0,250;2.30;9.20;denner;
;16.08.2025;11;D-Nusskernmischung unge;0,200;3.00;15.00;denner;
!;16.08.2025;12;D-Schokolade Nuss;0,100;NaN;NaN;denner;
;04.09.2025;1;Gurken;1,000;1.40;1.40;denner;
!;04.09.2025;2;Forellenfilets ger채uehert;NaN;2.95;2.95;denner;
!;04.09.2025;3;Schweins-Voressen;0,150;NaN;NaN;denner;
